UID,R-X,readability_reflection,comprehension_debugging,preference_rationale,learning_curve,suggestions_improvement,source_file
2f8ffb2c,R-161,"For numbers, I especially found interpolation (""{}"") more readable. When using the + symbol, I would often find myself confusing it with addition. For regular strings or when using variable names, I slightly leaned towards concatenation (""+"") as being easier to read, partially due to my experience with using this symbol most often in my own code. That being said, the longer the sentence and the more often variable names are used, I leaned more and more towards finding interpolation more readable.","Using concatenation did help me understand code snippets primarily in situations involving multiple variables or numbers, as there are no breaks in quotes when using concatenation. If there are many variables used during interpolation, it becomes more and more difficult to follow the quotes and determine where one part ends and a new part begins, as well as whether or not the code is written correctly or if, for example, the variable is accidentally written in quotes while the rest of the string is outside of it. ","I think I would prefer string concatenation for future programming tasks because, in my experience, I have experienced far less mistakes or errors on my end when using concatenation compared to the few times I have used interpolation.","Prior experience has absolutely impacted my ease of understanding the provided code examples, as I was fairly uncertain as to how concatenation worked, especially at the beginning of the study due to how little I have used it in the past or have seen it in my studies.",I have no suggestions or recommendations on how either string interpolation or concatenation syntax could be improved to enhance readability and comprehension.,AKIAYPZKJUD4MSKJLBUZ_v_20250504T010335_88hTvzhzmu.7oWe_nN3ZlMhz.ixdCs0C.csv
72eba1f0,R-162,"the one using ""+"" and {} symbol",yes,string concatenation ,it is similar to python ,,AKIAYPZKJUD4MSKJLBUZ_v_20250504T213132_lPdQdJcV_jPmqqlmtHlKmmgutkyvDQpF.csv
0b7c4cd6,R-163,"I found string concatenation much more readable as the brackets in string interpolation threw me off. I also am unsure what string interpolation is, which made it difficult to select answers.",Using string interpolation made it a lot slower for me to understand code snippets. It made it less readable due to the amount of brackets and parentheses present.,I would prefer string concatenation as I feel that it would be easier to debug.,My lack of familiarity with string interpolation made it difficult to understand. I have not worked with string interpolation before as I mainly use concatentation.,I do not think brackets are necessary in string interpolation.,AKIAYPZKJUD4MSKJLBUZ_v_20250504T214832_f.KCKohPRBcekSddgF_D8cvGq3T5VICx.csv
1736e08f,R-164,concatenation,no,concatenation,it helped by helping me understand,no,AKIAYPZKJUD4MSKJLBUZ_v_20250504T215028_UIZHU60i4xGsSVKAFahR7dLWdREu0dD7.csv
d61846fb,R-165,I found concatenation easier since in most cases it was easy to just place the strings next to each other without having to analyze the whitespace on the line defining the string.,Interpolation was more difficult to debug since it took time to figure out the brackets/parenthesis.,I would choose concatenation because it seems simpler to write and read.,"I have worked with concatenation much more than interpolation. As someone without a ton of coding experience, concatenation is easier to understand for beginners.",Potentially using a symbol for interpolation that is more distinct from parenthesis. ,AKIAYPZKJUD4MSKJLBUZ_v_20250504T234708_hXwMMqK_tlr2Ss9dn7sB51w6__p0Yaqy.csv
75dfbce0,R-166,"Concatenation, but I think it's because the CompSci program I've taken in my university does not teach interpolation in its I or II introductory courses, so I was less familiar.","At the end of the day, it's code so there was no way I was going to get thought it quickly, but I'll say the interpolation threw me off at times because I didn't know how it worked.","For the factors mentioned above, concatenation. It also seems cleaner to me but I'm heavily biased.",I was unfamiliar with interpolation and I had to catch on on its function so it delayed my ability by some factor.,Cohesion. If possible have the same syntax in a short block of code. ,AKIAYPZKJUD4MSKJLBUZ_v_20250504T235508_NnjxfSv9jgsS3bAn.ZSYGQa9QEXGSosL.csv
c94c001b,R-167,"Interpoation was more readable to me because the layout was more clear and less ""business"" in the overall texts. Being able to see what was clearly in the {} made it more readable for me","Yes, it definitely helped better understanding the code snippets, especially once I started to recognize it better. It was challenging in that it was hard to be sure sometimes what exactly was going on because it seemed intimidating at times with how things were written out.","I would choose interpolation, because to my eye it is more readable and easier to make sense of what it will print out as opposed to concatenation which confused me with what might be the correct result","Its hard to say, but I had more experience with concatenation prior due to me having used it more for coding assignment at my university, but overall once I understood interpolation better it made me prefer that for the readability","Potentially doing more ""human"" related examples, as opposed to what looks like random strings",AKIAYPZKJUD4MSKJLBUZ_v_20250504T235743_t6B7yG.S1zibMCKz0y4CmQe0Y3_IJGnH.csv
dd6a0845,R-168,I found concatenation more readable as the symbols used are easy to understand especially for a newcomer.,Using interpolation and concatenation helps me realize where specific bugs are in parts of my code with outputs.,"I would tend to prefer concatenation for now because of readability, but my opinion may change in the future.","My prior knowledge of concatenation helped, but I can't recall prior knowledge on interpolation so that could be why I prefer concatenation at the moment.",Nothing comes to mind.,AKIAYPZKJUD4MSKJLBUZ_v_20250505T000716_e5Uut1gc8krMW7.pxJWHEg1gzwqpOKsE.csv
34b6e8ae,R-169,"I found the use of the string concatenation to be more readable. I associate the {} a lot more with functions, so I kept mistaking what the usage was. I recognize it for certain things in Python, but since I've mostly been thinking in C++ and often use the +, then that's what I just am more familiar with. ","I think using the interpolation made it a bit slower for me. I was also honestly tripped up about the typos within the doc. It said John Deo, which made me think I was messing up while reading. ","I would prefer concatenation, unless I understood the interpolation more. I think they probably each have their best use cases, so I would also consider that when deciding what is best to use. ","I think using concatenation in custom classes made it a bit easier to understand what was happening. I don't have as much with interpolation, and I would have enjoyed a brief summary or description of the two before beginning the study. ","I would suggest trying to make sure the wording on the survey does not have typos and maybe add in brief descriptions of the concepts, just in case someone may not be familiar with one or the other.",AKIAYPZKJUD4MSKJLBUZ_v_20250505T003446_4ym7PiHMveXZdH.gcLTJmRNYkwpmh0_L.csv
605aa45d,R-170,"String interpolation is easier to read and inherently understand it will return a string.
there are quotes around whole expression (so i know its a string)-->""my name is {name}, nice to meet you.""
vs: ""my name is"" + {name} + ""nice to meet you"" <----(I missed adding a space after 'is' and before 'nice', its harder to type concatenations)",string interpolations are easier to understand. its more concise.,"I would use string interpolation. it is just more readable, and easier to type out.","I have used both string interpolation and concatenation in python, javascript, java. My experience may have made it easier to read the syntax in this survey, but I still prefer interpolation.",No suggestions.,AKIAYPZKJUD4MSKJLBUZ_v_20250505T013830__pvztnsuXSrzcziNmeNqlGpsWe.rL.UX.csv
22de4589,R-171,"I found the string concatenation more readable. This is because for the interpolation, I was confused on if there was spacing between the strings or not. ","Not really, I think both took the same amount of time. ","Concatenation, but I think it's just because I'm more used to it. I haven't heard of interpolation before this survey. ","Yes, I knew concatenation meant the strings are put together. I don't have any experience in string interpolation. ",,AKIAYPZKJUD4MSKJLBUZ_v_20250505T023503_GpZoUzOxqzT0LXl.823NWm9yj1bVfGik.csv
29f9c04b,R-172,"I found string interpolation (e.g., using f-strings in Python) to be significantly more readable than string concatenation. With interpolation, variables are embedded directly into the string, making it much easier to see what the final output will look like.","Using interpolation made debugging faster because I could visualize the intended output without mentally parsing how each part connects. With concatenation, I occasionally had to trace back through each + operation, especially when combining strings with integers, which requires explicit type conversion in Python.

A challenge with concatenation is that forgetting to convert an integer to a string (e.g., + score +) raises an error, which can interrupt workflow and is less beginner-friendly. Interpolation avoids this issue because variables are automatically formatted within the string context.","I would definitely prefer string interpolation for future tasks. It’s more concise, expressive, and avoids common errors like type mismatches. It also scales better for complex outputs such as logs, templates, or formatted messages. For instance, logging a file path or user action becomes clearer.","Having prior experience with both methods helped me immediately recognize the strengths and weaknesses of each. I initially learned programming through concatenation, so I was comfortable with the syntax. However, once I started using Python’s f-strings and template formatting, I saw a significant improvement in clarity and productivity.

That prior knowledge helped me understand the examples quickly in the survey, but I can imagine someone new to programming might find concatenation more intuitive at first—until type issues or readability concerns arise.","For interpolation, Python’s f-string syntax is already quite elegant. One improvement could be built-in formatting rules inside the {} for better alignment or padding without needing external calls to .format(). Also, tools that highlight interpolated variables differently in code editors (similar to syntax highlighting) could help with comprehension.

For concatenation, perhaps simplifying how non-string types are automatically handled could reduce the need for str() calls, although that could impact type safety. Alternatively, providing warnings or hints when mixing types during concatenation could guide less experienced users.",AKIAYPZKJUD4MSKJLBUZ_v_20250505T025817_c_btqYIbpIH3TZLpqisdOJDrbMHoyAff.csv
93683770,R-173,"I think string concatenation was more readable for me. It just seems a little easier to know what it will output, maybe it might be because I'm used to working with string concatenation.",Interpolation affected me a little but only when it came to the parentheses. It just looked odd and it just took me a little longer to debug.,I think I would use interpolation even though I did say it was a bit more difficult to read because it makes code look cleaner and line length shorter.,"I have more experience with concatenation which made it much easier to read. Interpolation was just not familiar to me since I usually code in C++, I use more concatenation than anything.","Not really, I feel like they are both as good as they can be it just takes a second to get used to.",AKIAYPZKJUD4MSKJLBUZ_v_20250505T032115_CkZlljMobHkstIQEsClzmgHRriufdMk..csv
66676146,R-174,"I found the string concatenation more readable as throughout life I have been more predisposed to the ""+"" symbol meaning to add two subjects together, helping me to be better at reading it than interpolation.",Using string interpolation did negatively affect my ability to read code snippets as I needed more time to figure out how the interpolation would put together data than concatenation.,I would use string concatenation as that would be the most readable and easiest to understand for programmers of all levels.,"As I have never used string interpolation and mainly used concatenation, it made it much more difficult to read the interpolation syntax than the concatenation syntax.","I do not as they both rather simple syntax and really depends on which you started with, user cases, and personal preference.",AKIAYPZKJUD4MSKJLBUZ_v_20250505T061039_cmBzrkEK64Gw4COiD2KY5tOn2_2iE77V.csv
2ce7e13b,R-175,I don't even understand the point,"I think the ""s were used wrong.",I think string interpolation worked better,It didn't.,Fix the quotes.,AKIAYPZKJUD4MSKJLBUZ_v_20250505T175601_LdyZGcz0Ro_Rx1bw0sB9GKw6AXEyUvCV.csv
40c4c097,R-176,string interpolation is more readable. You don't need to be checking if there are quotes around it because as soon as you see {} you knew that it was referring to a variable. ,It took more a second to get use to string interpolation but once you understand it I found it easier to read. ,I would personally use string concatenation. I think it's easier to understand it. When there are quotes around it will display exactly what is in the quotes but when there are no quotes you need to see what variable it is.  ,string interpolation was more confusing to understand because I have not seen that before. String concatenation is what I am use to. ,,AKIAYPZKJUD4MSKJLBUZ_v_20250505T181833_1kOsO79T8arbuEeqZuSGrXN1zhzzqGD_.csv
a213c465,R-177,"I think I found string concatenation more readable. It was one of the first things I learned in regards to strings, and seeing the ""+"" signs helped me visualize what strings were being put together. ","I think the usage of both features allowed me to quickly debug the code snippets. I was constantly flipping between the variables that represented the strings and the output of the code, which helped me piece the outputs a lot faster. ",I would prefer string concatenation. I am more comfortable with it and to me it is just more readable. ,"Yes I believe concatenation did make the code examples easier to understand. I was able to piece together the messages easier, given the ""+"" sign. ",I think both string features already work well in terms of readability and comprehension.,AKIAYPZKJUD4MSKJLBUZ_v_20250505T201643_.1iITnGl3HiNUbS9tg6ix8RWeA54aQoX.csv
640779f0,R-178,I found concatenation to be more readle as it had less {},"No, they did not really affect my ability",I would choose string concatenation,Did not really have extensive experience with one specific one over the other ,No,AKIAYPZKJUD4MSKJLBUZ_v_20250506T014636_PDDaOG.ra8zpY5CnFm8rrwv3iHOOVqGu.csv
ad29a0ab,R-179,I find string concatenation more readable because of just what I have been coding through my college career.,A little bit because I never seen interpolation before.,String concatenation because it is easier to understand. ,I haven't had much experience but just with coding assignments the concatenation with declaring strings and manipulating strings. ,No.,AKIAYPZKJUD4MSKJLBUZ_v_20250506T014929_KtKHTDd615EHSqlVlQ1VEcXOLmIQ423p.csv
ab804763,R-180,"Concatenation was most easier because I am used to it. However, interpolation seems like it would make for more readable code in the more meaningful context. What I mean is it was hard to read concatenation when it was just seemingly random letters/numbers, but when it was within the URLs it made a lot more sense (and wasn't separated out by "" + "")
","I don't exactly know how concatenation works with spaces and/or multiple variables inside the brackets, so that was pretty confusing. Concatenation for the most part always is clear in this respect.",I want to get more familiar with interpolation in order to not have all of my outputs be separated by addition symbols. There aren't many other factors affecting my decision.,I was used to concatenation but not interpolation so I was second guessing on some questions with interpolation.,,AKIAYPZKJUD4MSKJLBUZ_v_20250506T015957_Assehlcowp2qLrU.A6whzr3ruUTtb.i4.csv
dabbc80c,R-181,"I would have to say string concatenation as I am simply more familiar with the syntax. To compound, the idea of addition is also more natural than substitution when combining literals together - for me at least.",I don't have enough experience to comment on this.,I would prefer the latter for the same reasons listed above.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,,AKIAYPZKJUD4MSKJLBUZ_v_20250506T020655_W5IKfS5l0_3INRMsuPB1X.bLOMJXYcwD.csv
4b83afb9,R-182,"String Interpolation felt easier to read when it comes to words already stored in variables or strings, while string concatenation works okay for any type. In general though, any of the number ones felt kind of hard to understand in this test, not sure if it was the way it was typed or not. ","Like I said in the previous question, the number ones in general felt horrible for both types, except for a few cases. When it comes the variables holding strings and a word, it was overall not bad. ","Depends on if I am dealing with numbers mainly or strings. String interpolation and concatenation work fine with strings. For numbers, probably leaning more towards interpolation.","In my experiences with coding for far, embedding strings or numbers in variables of sorts makes it easier to use whenever it is needed by just using that variable name or holder. So interpolation is sort of easier for me to understand.","To be honest, not really? I think in general it is a practice thing where the more you use it, the more you get used to it. But If I could recommend an improvement, I think string concatenation needs a better way to ""store"" a number or string prior hand to being used.",AKIAYPZKJUD4MSKJLBUZ_v_20250506T024439_okNH3MjgPNArR6pIv6qc8Wqu8F1zb_kE.csv
117a6f0e,R-183,"I found string interpolation more readable than string concatenation. With interpolation, variables are directly inserted into the string, making it clearer. For example, f""Hello, {name}!"" is easy to read and understand. In contrast, with concatenation, I have to manage + operators and spaces, like ""Hello, "" + name + ""!"", which can get messy and harder to follow, especially with multiple variables. String interpolation is simpler and cleaner overall.","String interpolation made it easier to understand and debug code. It was clear where the variables fit into the string, so I didn’t have to worry about spacing or type conversion. For example, f""Hello, {name}!"" is straightforward. With concatenation, I had to keep track of + signs and ensure proper formatting, which sometimes led to errors, like forgetting to convert numbers to strings. Interpolation saved time and reduced mistakes.","I would prefer string interpolation for future programming tasks. It's clearer, simpler, and reduces the chances of errors. It directly shows how variables are inserted into the string, making the code easier to read and understand. String concatenation can get messy with multiple variables and require extra steps like type conversion and managing spaces, which can make the code harder to maintain and debug.","My prior experience with string interpolation made it much easier to understand the code examples. I’m used to seeing variables inserted directly into the string, so it felt more intuitive and natural. Concatenation, on the other hand, required more effort to follow because I had to manage the + operators and ensure proper spacing and type conversions, which slowed me down. Familiarity with interpolation made the code feel cleaner and easier to read.","For string concatenation, I think it would be helpful to have a more streamlined syntax, like a shorthand for inserting variables without needing to use + or handle type conversions manually. Something similar to interpolation but without needing placeholders would make it cleaner.

For string interpolation, I think allowing more complex expressions inside the curly braces, like conditional statements or loops, could improve its flexibility. This would make it easier to handle more dynamic strings without resorting to additional code outside the string itself.",AKIAYPZKJUD4MSKJLBUZ_v_20250506T030421_1a1QCR9FgpbbEKNLxlESOLrRTq2S1gHr.csv
771f4a8a,R-184,I prefer concatenation as the plus symbols just make it easier for me personally to see what's a part of what.,I did take a bit of time trying to figure out in the concatenation cases whether it was straight up writing the word or not and whether the curly brackets were actually parentheses.,I would prefer concatenation simply because I find the plus signs easier to find and read than curly brackets.,"I've always used string concatenation prior to this, so concatenation is a much more unfamiliar syntax to me.","I just think, that when there are parentheses on the same line, the curly brackets in interpolation make code much harder to read.",AKIAYPZKJUD4MSKJLBUZ_v_20250506T031932_vwHxXPT96dZU1cUPoGulInfW6uIysYY4.csv
35fa1d89,R-185,I found string interpolation more readable in most cases especially for the file and website paths as it closely matches the end result.,I found some trouble quickly deciphering some of the string interpolation as it felt tricky mentally removing the curly brackets and figuring out where they ended.,I would choose to use interpolation as it is more readable and would result in shorter lines to put together strings. With good variable names the interpolation syntax is very readable and easy to understand. There are cases where i would still use concatenation like if i was combining strings returned from functions.,I have essentially no experience with interpolation and so it took me a moment to understand how it worked during the practice section but I quickly picked it up and found it most of the time easier than concatenation.,"I can't think of an exact suggestion but i feel like the curly brackets might be better off being replaced by something else. Maybe single quotes ""Hello 'name'.""?",AKIAYPZKJUD4MSKJLBUZ_v_20250506T032412_fZ___9TEYLq4bh4VQv6DDd_Ev9Qx6VMo.csv
84b9be55,R-186,"String concatenation felt more readable. When I see the plus, I know the next thing is simply added to the previous thing. String interpolation was not as familiar to me as someone who primarily knows C++. My understanding of {} changed as I went through the questions and scanned answer choices and so my later answers might contradict my previous answers. For example, at one point I assumed curly braces inside quotations do not count as interpolation but just output as curly braces. However, none of the answer choices reflected that, so I had to change my assumptions.","Concatenation was easier for me to see from a high level and understand what is happening. String interpolation was more tricky, especially when surrounding or being surrounded by other symbols like parentheses, plus signs, or quotations.","I would choose string concatenation simply because it felt more natural to me. With C++ being my primary language, I haven't grown accustomed to interpolation due to lack of experience in other languages like Python or C#.","Knowing C++ only, I had trouble with interpolation due to C++ not having that quality built in. I was not sure how syntax would work when enveloping the curly braces inside quotations, or how to interpret expressions with parentheses like (0 1 2) inside of curly braces, etc.","For interpolation readability, it makes the most sense in my mind if anything inside quotes are exactly that. So if we want to evaluate certain expressions and embed them in the middle of a string, they should be put in between the first substring and the second substring, and not inside quotes. I don't mind whether the plus sign is there or not to signify concatenation. ",AKIAYPZKJUD4MSKJLBUZ_v_20250506T035946_.0aOOgVrgCcVVeitPre2nDyfphGsJu3g.csv
0f98cb0b,R-187,"I feel like string concatention is easier for me since it looks like c++, instead of using + we use <<","I think I was often confused about what was in the quotations, which would limit my ability to see what exactly was being printed",I'd go with concatention since it's easier for me to read even though interpolation is generally easier. My c++ background made it easier.,I have some experience using interpolation in python and none with concatenation but since I use c++ more often it was easier to read than interpolation,"Not particularly, since when I read it I just compared a language I knew and a language I'm decently familiar with,",AKIAYPZKJUD4MSKJLBUZ_v_20250506T041203_fMjHgJLvhky76E_M2qD3.I5yihEJ9Acr.csv
b7914eb6,R-188,I found string interpolation more readable. ,Yes it did ,I would choose string interpolation. ,My prior experience did not help at all as the languages weren't similar. ,No.,AKIAYPZKJUD4MSKJLBUZ_v_20250506T042953_BsCDF6Cg2peT13gpCabWbLm8uRIs2FYQ.csv
d7ee1504,R-189,"I believe concatenation to be more readable as I've had more practice with it. I don't remember specific examples but say when reading ""x = {x}"" vs ""x = "" + x, I would be able to read the ladder better but the first is very easy to read.",Learning these helps me read syntax a bit more. I believe there is an advantage to reading messy code or just lengthy coding in general.,I think long-term I would prefer interpolation because it would be faster to code using it. It made the code look cleaner and less lines so in my head I feel like it would be faster.,I think learning these skills lets me recognize the pattern to the code examples. Working with strings in past CS classes has helped me understand these snippets.,Interpolation being used in conjunction with concatenation can cause the original concatenated code to be neater.,AKIAYPZKJUD4MSKJLBUZ_v_20250506T043006_VXAJrJuvlqXkeauRbqqh7hyygzmhc2fj.csv
73dd28f9,R-190,"I found string concatenation more readable, because I usually interpret anything inside of quotes to be part of the string itself. I'm relatively new to string interpolation, so I got somewhat confused when the interpolation brackets would be inside quotes for one question, then outside for another.","The concatenation operator '+' was much more straightforward and readable for me, so I'd say I had an easier time answering the concatenation questions.","I would choose string concatenation, because the idea of combining strings is much more straightforward for me.","I'm much more familiar with string concatenation while string interpolation is somewhat new to me, so in general the string interpolation questions did throw me off a little, especially distinguishing the difference between the brackets being inside and outside of quotes.","I don't really have any suggestions or recommendations, but I can say the interpolation brackets would be much more readable for me if they were color-graded like in IDEs, and that the '+' operator for string concatenation worked well for me.",AKIAYPZKJUD4MSKJLBUZ_v_20250506T044612_PjzM6NhtzYBD8O1J5E1k0bG1fDn.6I4z.csv
b45fec71,R-191,String concatenation,No,Not sure,I dont have prior experience,No,AKIAYPZKJUD4MSKJLBUZ_v_20250506T045143_mgOW.GjWgtp01fRBLzpyGBN15UBHjW29.csv
6e7fa2e6,R-192,"String interpolation is more readable than string concatenation, especially when dealing with multiple variables or more complex expressions.","Yes, string interpolation made it easier to understand the code snippets. I found myself mentally tracking each variable and manually ensuring I wasn't missing any part of the string.",I would prefer string interpolation for readability,I’m more familiar with string interpolation. I could focus on the logic and meaning of the code rather than the mechanics of string manipulation.,"Python could introduce a more intuitive concatenation syntax. For string interpolation, I think f-strings are already very readable",AKIAYPZKJUD4MSKJLBUZ_v_20250506T053825_I0HMuDYP2Gdtk8FysS7DHwnV61E4.Ndu.csv
23752ad4,R-193,concatination because it made sense logically if u have a + b and a = 1 and b = 2 and heyre strings it would just be 1 (space) 2.,Im pretty sure some asnwers were very similar just one had no quotations or the other had less spaces this made it hard to debug.,Concatination because it is easier to understand even if you don't know how to code. I think it looks straightforward to someone who has no programming experience.,I think we learned concatination in cs135 and that knowledge helped me in this sruvey.,Concatination is easier to follow,AKIAYPZKJUD4MSKJLBUZ_v_20250506T054532_CzqcwA8F3zDTMs1ZXhTlr9DdnInOW_6G.csv
08a7321d,R-194,"String concatenation was more readable, but most likely due to personal experience. I wouldn't say that I'm some genius or expert in computer science/coding, but have decent understanding of C++ due to my college classes. Just based on C++ and my experiences, I am more familiar with string concatenation than interpolation. ","Concatenation isn't a syntax I'm particularly familiar with, I know we've learned it before but it isn't something that I typically use or encounter in my classes. There were specific syntax issues that I found confusing with interpolation. For example if it said {a + b}, a = ""Hello"", b = ""World"", I would assume the correct output would be HelloWorld, but found that sometimes spaces are inserted during interpolation? Unless I misunderstood how it was working, I assumed spaces being inserted was the case, so I assumed the output was actually Hello World, where the space was inserted.
 ","I would choose string concatenation just based on familiarity. Although interpolation was something I am not familiar with, if there are more common uses cases then it could be true that I would use string interpolation more. Just based on my current situation, I find myself choosing to use string concatenation more often than string interpolation.","My previous experiences and familiarity helped significantly with understanding string concatenation, but on the other hand I think my lack of understanding string interpolation impacted my performance negatively. String concatenation was just one of the first things we were taught in computer science, and always found the concept simple. I found myself using it a lot more frequently than interpolation, even though both concepts were taught (at different points in my academic career).",I don't think I have any suggestions. I personally believe my lack of knowledge in interpolation was the key factor in preferring concatenation over interpolation.,AKIAYPZKJUD4MSKJLBUZ_v_20250506T064045_msL_j.sV51jza5Gufi1seGXHZ6lt9Hzk.csv
dda1bb6a,R-195,For me concatenation was more readable but interpolation looks neater. I think concatenation was more readable only because its what I'm used to. I never really used interpolation when I was taught.,Interpolation made me a little more confused on where spaces were supposed to be in the whole string.,I would prefer interpolation since it looks cleaner to me and more interesting than concatenation.,I know concatenation more than interpolation so I felt easier to answer the concatenation questions.,No,AKIAYPZKJUD4MSKJLBUZ_v_20250506T071440_zePDWM48xy3pQgU6UJ6GG.mgTe9DEloX.csv
0998cda6,R-196,String concatenation is easier to read as it is more obvious what actions are being taken and where. It is much easier to see what variables are being addressed and how they are.,"Concatenation was much easier for me to translate versus interpolation, as I understood how to formulate the final result easier when looking at concatenation compared to interpolation.","String concatenation would be my preferred choice, as it would be much easier to read for me, along with it being easier for me to debug.","My previous experience has most definitely contributed to me preferring concatenation, as I am much more used to it. This would result in me being able to read it easier.",I do not think readability needs adjusted for either; it is just my preference that I would rather work with concatenation.,AKIAYPZKJUD4MSKJLBUZ_v_20250506T073840_am6OVv0jWoSH55UAMWlaF_K_0Y29Wxyt.csv
64953b8f,R-197,"I found string interpolation more useful and readable, especially with the longer expressions.","Yes, interpolation made it easier for me to identify values in context. I found concatenations trickier when mixing numbers and strings.",I prefer string interpolation because it has fewer syntax errors than concatenation.,"At first, string concatenation felt easier because I had used it before. But after practicing with interpolation in this survey, I found it much simpler and straightforward. ","no
",AKIAYPZKJUD4MSKJLBUZ_v_20250506T085948_ENr0bbRoVJmCGBIjf02ApsxRYx0XfyVG.csv
eaf5fb5e,R-198,I found string concatenation more readable as I found hat I was able to piece together the pieces faster.,String interpolation was harder for me to read. I took me more time. ,I would prefer string concatenation. Its far easier to understand and faster to debug. ,I am far more familiar with string concatenation so I was better at understanding the snippets that used that method. ,I think string interpolation seems more technical. Perhaps a key would help. I'm not sure. ,AKIAYPZKJUD4MSKJLBUZ_v_20250506T154551_A6sM1zzsJ.IXnHerohh1Kd_iJuHVVbVo.csv
42d4fa68,R-199,I found + more readable because it made more sense to me.,yes it did. it made it more challenging for me to understand what is happening. ,string interpolation because it is easier to read. ,I do not have much experience. ,Breaking it down into multiple lines rather than making it a continuous line. ,AKIAYPZKJUD4MSKJLBUZ_v_20250506T160855_jX35arSks.fPFhiOUaXgSM2cVOPbZQoV.csv
d40fe9fe,R-200,"I find using {} in strings surrounded by quotes the most readable. ex: f""My name is {name} and I am {age} years old.""
This is because you can clearly see if there are spaces and whatnot. Also, since I use Python outside of class, it's what I'm comfortable with.",I faced challenges with the parentheses (). I wasn't sure if I should add it to the actual string or if it's just there to isolate values.,I prefer interpolation since it is easier for someone to visualize/see the full string quickly.,"I have experience with concatenation from classes at UNLV and interpolation from using Python at my internship. Even though I technically have more experience with C++ and concatenation, interpolation is much easier to use and understand.","It gets really hard to read when there's a combination of concatenation, interpolation, as well as parentheses. It would be better just to choose one method and stick with it, and I'd recommend that method be interpolation.",AKIAYPZKJUD4MSKJLBUZ_v_20250506T171212_97ItyFoZzCTPJ5glABUUUk3jesrauKvh.csv
9b6fa7f6,R-201,I am more familiar with string concatenation as I relate the + operator closer to adding two strings than interpolation,"I'm not used to seeing {} when combining strings, so I had to infer what the meaning of it was, and how it differed from concatenation.",I prefer sting concatenation as I think it is a simpler method of viewing the code.,"I am more familiar with is {} for loop statements or containing blocks of code, so when it appeared in interpolation I was confused towards what the purpose was.",I think string interpolation would be more readable if a different operator was used instead of the curly braces.,AKIAYPZKJUD4MSKJLBUZ_v_20250507T000013_6MQCPkcqeXmEhqx1XTt03VJbBA8owhVl.csv
f0ad7b95,R-202,"I found string interpolation more readable than concatenation. For example: ""Hello {name}, your score is {score}"" is easier to read than ""Hello "" + name + "", your score is "" + str(score).
Interpolation keeps the sentence structure clean and avoids extra + signs or type conversions.
It’s especially helpful when working with file paths or longer strings.

","String interpolation made it easier to understand and debug code quickly.
I could instantly see what the final output would look like, like in ""{a} + {b} = {a + b}"".
With concatenation, I had to check for missing + signs or type errors like mixing strings and integers.
Interpolation felt more organized, especially when dealing with multiple variables.

","I would prefer string interpolation because it’s easier to read and makes the code look cleaner. It helps avoid mistakes like missing spaces or mixing data types. Overall, it saves time and makes debugging simpler.","My prior experience with both interpolation and concatenation made the code examples easier to understand. I was already used to how they work, so I could follow the logic quickly. It felt more like a review than something new or confusing.","One suggestion is to make interpolation the default or more consistent across languages, so it's easier to use without extra symbols. It would also help if error messages clearly explained when types don’t match in concatenation. Overall, simpler and more unified syntax would make both methods easier to learn and read.



",AKIAYPZKJUD4MSKJLBUZ_v_20250507T001546_BqENpC5KL9YXVSKmhtic5aUKJJX.44No.csv
f1dc0159,R-203,"The ""+"", my entire time learning code in the university i have never once used the ""{}"" to combine my strings together. Plus its a lot easier for most people since the sign ""+"" is so universal. ","concatenation helps me understand more when dealing with code debugs. Its easier to read and type up, also depending on how experience the person is, using {} inside of """" can be quite annoying.","Concatenation, I just have more experience using it and it was taught in my classes.","It had a huge impact, working with strings for almost every assignment has helped me ease up the code examples.","Concatenation seems easier to understand to most people because of the universal meaning of ""+"", however I don't mind my professors teaching us about the string interpolation, always good to learn the two. ",AKIAYPZKJUD4MSKJLBUZ_v_20250507T015744_3Mys.nqoqe5ZVAdrAz0f.JfwXXVpHgxl.csv
66ae5bc8,R-204,String concatenation because it is more organized.,"Not really, both were not too difficult to decipher. But concatenation method is easier. ",String concatenation would be my choice because its more readable since it is organized. The other method can be very messy at times. ,I always use concatenation so it was easier for me this time. I never use interpolation so that could have influenced my difficulty. ,No. ,AKIAYPZKJUD4MSKJLBUZ_v_20250507T020045_xb8_v.D9yJjPqfAgwIAikxEO28Ptc45u.csv
a63a3389,R-205,"With my experience, I find string concatenation more readable because it is what I am used to. When I see the addition sign between two strings, my brain automatically registers what the concatenated string would look like.",No I've never faced any challenges with debugging due to string interpolation/concatenation.,I would choose string concatenation because the syntax looks more pleasing to the eye and easier to read.,"In my personal experience, my computer science professors have never used string interpolation, so I was never taught how to use it.","I don't have any suggestions for string concatenation. However, for string interpolation, I recommend changing the syntax a bit. For example, if I had two string variables A and B, instead of writing {B}{A}, I think it would look more readable if it were written as {B, A} because it seems less cluttered.",AKIAYPZKJUD4MSKJLBUZ_v_20250507T021959_9EGLXGrAcKvGU9ztB8NDMyG7wP8ZiqjB.csv
